num_cars,frame,num_cars_time,colours,colours_time,car_type,car_type_time
0,205,0.358353,,0.000005,,0.450354
0,206,0.285176,,0.000006,,0.128262
0,207,0.226549,,0.000004,,0.152388
0,208,0.367080,,0.000007,,0.409474
0,209,0.275114,,0.000005,,0.147807
0,210,0.234353,,0.000004,,0.141057
0,211,0.366077,,0.000006,,0.436997
0,212,0.272596,,0.000005,,0.147677
0,213,0.226927,,0.000004,,0.164567
0,214,0.376694,,0.000007,,0.253694
0,215,0.276579,,0.000005,,0.312140
0,216,0.224732,,0.000005,,0.106014
0,217,0.362681,,0.000007,,0.246609
0,218,0.272009,,0.000006,,0.326626
0,219,0.227831,,0.000005,,0.152368
0,220,0.367963,,0.000007,,0.266620
0,221,0.264677,,0.000006,,0.346379
0,222,0.244841,,0.000006,,0.143583
0,223,0.362243,,0.000007,,0.254867
0,224,0.283928,,0.000005,,0.326157
0,225,0.233997,,0.000004,,0.137382
0,226,0.359108,,0.000007,,0.260465
0,227,0.279776,,0.000005,,0.137811
0,228,0.235093,,0.000004,,0.287504
0,229,0.363405,,0.000006,,0.265312
0,230,0.279559,,0.000007,,0.114300
0,231,0.229528,,0.000004,,0.304565
0,232,0.366101,,0.000005,,0.242955
0,233,0.283926,,0.000005,,0.153406
0,234,0.223410,,0.000004,,0.324201
0,235,0.364329,,0.000006,,0.241765
0,236,0.282691,,0.000007,,0.164174
0,237,0.230939,,0.000004,,0.351698
0,238,0.363764,,0.000005,,0.244509
0,239,0.264591,,0.000004,,0.132293
0,240,0.213711,,0.000005,,0.149645
0,241,0.368067,,0.000006,,0.402415
0,242,0.266381,,0.000007,,0.155756
0,243,0.225172,,0.000004,,0.168844
0,244,0.355676,,0.000006,,0.455930
0,245,0.281110,,0.000006,,0.126434
0,246,0.232398,,0.000004,,0.125620
0,247,0.373448,,0.000006,,0.400350
0,248,0.271948,,0.000006,,0.172507
0,249,0.223570,,0.000012,,0.140579
0,250,0.366904,,0.000005,,0.407696
0,251,0.284682,,0.000005,,0.161095
0,252,0.230676,,0.000005,,0.104962
0,253,0.368735,,0.000006,,0.252233
0,254,0.269143,,0.000006,,0.368110
0,255,0.236448,,0.000004,,0.150047
0,256,0.366390,,0.000006,,0.226820
0,257,0.294748,,0.000006,,0.359459
0,258,0.223418,,0.000005,,0.126078
0,259,0.372984,,0.000005,,0.231061
0,260,0.274401,,0.000007,,0.305530
0,261,0.222544,,0.000005,,0.141947
0,262,0.360079,,0.000006,,0.258308
0,263,0.267975,,0.000007,,0.326140
0,264,0.243282,,0.000005,,0.163850
0,265,0.369235,,0.000005,,0.236118
0,266,0.252249,,0.000004,,0.150933
0,267,0.239447,,0.000006,,0.354842
0,268,0.350489,,0.000007,,0.300483
0,269,0.272004,,0.000006,,0.158416
0,270,0.246397,,0.000005,,0.348667
0,271,0.338398,,0.000004,,0.304332
0,272,0.269520,,0.000007,,0.156906
0,273,0.251461,,0.000008,,0.369946
0,274,0.361610,,0.000004,,0.264385
0,275,0.261321,,0.000005,,0.128041
0,276,0.246350,,0.000005,,0.376135
0,277,0.360498,,0.000005,,0.235654
0,278,0.245625,,0.000004,,0.144574
0,279,0.210509,,0.000005,,0.124491
0,280,0.381106,,0.000005,,0.397760
0,281,0.268290,,0.000007,,0.153503
0,282,0.229174,,0.000005,,0.131819
