num_cars,frame,num_cars_time,colours,colours_time,car_type,car_type_time,,,Sedan,Hatchback,black,silver,red,white,blue,black,silver,red,white,blue,Q1_Time,Q2_time,Q3_time,black,silver,red,white,blue
0,128,0.293617,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.467611,0.742741,0.742752,0,0,0,0,0
0,129,0.21052,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.51196,0.693488,0.693496,0,0,0,0,0
1,130,0.21117,black,0.001781,hatchback,0.082253,,,0,1,0,1,0,0,0,0,0,0,0,0,0.546473,1.19165,1.206353,1,0,0,0,0
0,131,0.214852,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.27897,0.514578,0.514585,0,0,0,0,0
0,132,0.207626,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.280571,0.492211,0.492216,0,0,0,0,0
0,133,0.210284,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.371508,0.793309,0.793322,0,0,0,0,0
0,134,0.245741,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.333337,0.505687,0.505692,0,0,0,0,0
1,135,0.211898,silver,0.001587,hatchback,0.077573,,,0,1,0,1,0,0,0,0,0,0,0,0,0.482199,0.720578,0.723989,0,1,0,0,0
1,136,0.208739,black,0.00167,hatchback,0.084807,,,0,1,0,1,0,0,0,0,0,0,0,0,0.361895,0.537293,0.539585,1,0,0,0,0
1,137,0.210337,black,0.001684,hatchback,0.209016,,,0,1,0,1,0,0,0,0,0,0,0,0,0.294316,0.671475,0.674923,1,0,0,0,0
1,138,0.216835,black,0.0024,hatchback,0.075815,,,0,1,0,1,0,0,0,0,0,0,0,0,0.41096,0.630984,0.633239,1,0,0,0,0
1,139,0.205168,black,0.002383,hatchback,0.076543,,,0,1,0,1,0,0,0,0,0,0,0,0,0.265553,0.454603,0.456719,1,0,0,0,0
1,140,0.211021,black,0.001663,hatchback,0.203026,,,0,1,0,1,0,0,0,0,0,0,0,0,0.458985,0.869521,0.872166,1,0,0,0,0
1,141,0.214538,black,0.001594,hatchback,0.078716,,,0,1,0,1,0,0,0,0,0,0,0,0,0.36868,0.555771,0.557656,1,0,0,0,0
1,142,0.206355,black,0.002416,hatchback,0.07748,,,0,1,0,1,0,0,0,0,0,0,0,0,0.280369,0.461067,0.463258,1,0,0,0,0
1,143,0.210315,black,0.002421,hatchback,0.208557,,,0,1,0,1,0,0,0,0,0,0,0,0,0.368448,0.770637,0.772664,1,0,0,0,0
1,144,0.206377,black,0.002431,hatchback,0.086318,,,0,1,0,1,0,0,0,0,0,0,0,0,0.341456,0.530451,0.533344,1,0,0,0,0
1,145,0.212952,black,0.002407,hatchback,0.079601,,,0,1,0,1,0,0,0,0,0,0,0,0,0.503014,0.783024,0.788783,1,0,0,0,0
1,146,0.209561,black,0.001608,hatchback,0.204586,,,0,1,0,1,0,0,0,0,0,0,0,0,0.41333,0.88108,0.884028,1,0,0,0,0
1,147,0.209733,black,0.001604,hatchback,0.076096,,,0,1,0,1,0,0,0,0,0,0,0,0,0.329804,0.488902,0.491971,1,0,0,0,0
1,148,0.207443,black,0.001718,hatchback,0.078189,,,0,1,1,0,0,0,0,0,0,0,0,0,0.42748,0.668502,0.670538,1,0,0,0,0
1,149,0.21231,black,0.00156,hatchback,0.075839,,,0,1,1,0,0,0,0,0,0,0,0,0,0.34475,0.555765,0.558847,1,0,0,0,0
1,150,0.207209,black,0.001614,hatchback,0.209118,,,0,1,1,0,0,0,0,0,0,0,0,0,0.403074,0.936968,0.939981,1,0,0,0,0
1,151,0.219867,black,0.002457,hatchback,0.074137,,,0,1,1,0,0,0,0,0,0,0,0,0,0.46673,0.702481,0.705242,1,0,0,0,0
